,Old Ref ID,Ref ID,Record Last Updated (dd/mm/yyyy),Operator (or Applicant),Site Name,Technology Type,Storage Type,Storage Co-location REPD Ref ID,Installed Capacity (MWelec),CHP Enabled,RO Banding (ROC/MWh),FiT Tariff (p/kWh),CfD Capacity (MW),Turbine Capacity (MW),No. of Turbines,Height of Turbines (m),Mounting Type for Solar,Development Status,Development Status (short),Address,County,Region,Country,Post Code,X-coordinate,Y-coordinate,Planning Authority,Appeal Reference,Secretary of State Reference,Type of Secretary of State Intervention,Judicial Review,Offshore Wind Round,Planning Application Submitted,Planning Application Withdrawn,Planning Permission Refused,Appeal Lodged,Appeal Withdrawn,Appeal Refused,Appeal Granted,Planning Permission Granted,Secretary of State - Intervened,Secretary of State - Refusal,Secretary of State - Granted,Planning Permission Expired,Under Construction,Operational
0,N00053B,1,07/07/2009,RWE npower,Aberthaw Power Station Biomass,Biomass (co-firing),,,35,No,,,,,,,,Operational,Operational,"Aberthaw Power Station, The Leys, Aberthaw Barry, Vale of Glamorgan",South Glamorgan,Wales,Wales,CF62 4ZW,"302,219","166,320",Vale of Glamorgan Council,,,,,,16/04/2004,,,,,,,03/09/2004,,,,,01/05/2006,01/05/2007
2,B0730,3,04/06/2020,Scottish and Southern Energy (SSE),Ferrybridge Multifuel 2 (FM2),EfW Incineration,,,70,No,,,,,,,,Operational,Operational,,West Yorkshire,Yorkshire and Humber,England,,"447,490","424,684",The Planning Inspectorate - National Infrastructure,,,,,,20/08/2014,,,,,,,28/10/2015,,,,28/10/2020,01/09/2016,20/12/2019
3,1106000,4,18/12/2003,Energy Power Resources,Thetford Biomass Power Station,Biomass (dedicated),,,38.5,No,,,,,,,,Operational,Operational,"Thetford Power Station, Marley Building Materials Site, Two Mile Bottom,Mundford Road, Thetford ,Norfolk",Norfolk,Eastern,England,,"585,300","286,900",Breckland Council,,,,,,23/06/1994,,,,,,,05/05/1995,,,,,,02/10/1998
13,A0331,14,04/04/2012,Dalkia,Chilton Energy Plant,Biomass (dedicated),,,18,No,,,,,,,,Operational,Operational,"Chilton Industrial Estate, Chilton, Ferryhill, County Durham",Durham,North East,England,,"428,049","530,414",Durham County Council,,,,,,17/09/2008,,,,,,,24/11/2009,,,,,01/03/2010,12/03/2012
16,AA851,22,10/08/2012,Double H Nurseries,Double H Nurseries Biomass Plant,Biomass (dedicated),,,1.5,Yes,,,,,,,,Operational,Operational,"Double H Nurseries, Gore Road, New Milton ",Hampshire,South East,England,BH25 5NQ,"422,804","94,625",Hampshire County Council,,,,,,25/01/2012,,,,,,,29/05/2012,,,,,,15/12/2012
17,B0242,23,25/10/2016,REACT Energy (Kedco),Newry Biomass Phase 1 (Gasification),Advanced Conversion Technologies,,,2,No,,,,,,,,Operational,Operational,Newry,Co. Down,Northern Ireland,Northern Ireland,,"117,392","488,885",Northern Ireland Planning Service,,,,,,,,,,,,,,,,,,,27/06/2012
18,B0376,24,29/05/2012,Balfor Beaty,Beckton STW Biodiesel Power Plant,Biomass (dedicated),,,8,No,,,,,,,,Operational,Operational,Beckton Sewage Treatment Works Jenkins Lane East Ham London ,Greater London,London,England,IG11 0AD,"545,350","181,950",Newham London Borough Council,,,,,,,,,,,,,,,,,,,01/12/2010
19,B0461,26,07/08/2012,Living Power (REG Bio-Power),Buslingthorpe Power Station (Leeds North),Biomass (dedicated),,,2,No,,,,,,,,Operational,Operational,"Penraevon Industrial Estate, Buslingthorpe Green, Leeds",West Yorkshire,Yorkshire and Humber,England,LS7 2HG,"430,213","435,435",Leeds City Council,,,,,,30/09/2010,,,,,,,30/12/2010,,,,,,14/10/2011
21,EN00001,28,09/06/2010,Balcas,Invergordon Pellet Mill,Biomass (dedicated),,,5,No,,,,,,,,Operational,Operational,"Invergordon, Ross-shire",Highland,Scotland,Scotland,,"271,390","870,450",Highland Council,,,,,,15/04/2006,,,,,,,16/04/2007,,,,,,01/11/2009
23,EN00121,33,08/10/2013,Balcas Timber,Balcas Timber Biomass CHP Plant,Biomass (dedicated),,,2.5,Yes,,,,,,,,Operational,Operational,"Balcas Timber Ltd, Laragh, Enniskillen, Co. Fermanagh",Co. Fermanagh,Northern Ireland,Northern Ireland,BT94 2FQ,"31,750","505,000",Northern Ireland Planning Service,,,,,,01/06/2003,,,,,,,01/06/2004,,,,,,14/11/2005
24,EN00151,34,29/06/2011,Caledonian Paper,Caledonian Papermill,Biomass (dedicated),,,26,No,,,,,,,,Operational,Operational,"Meadowhead Road, Shewalton, Irvine",Strathclyde,Scotland,Scotland,KA11 5AT,"233,710","634,940",North Ayrshire Council,,,,,,05/05/2006,,,,,,,11/07/2006,,,,,,04/06/2009
25,EN00156,35,10/05/2016,UK Wood Recycling,Wilton International,Biomass (dedicated),,,35.2,No,,,,,,,,Operational,Operational,"Wilton International, PO Box 1985, Wilton, Middlesbrough, Cleveland",Cleveland,North East,England,TS90 8WS,"458,500","519,500",Redcar and Cleveland Borough Council,,,,,,06/09/2006,,,,,,,07/11/2006,,,,,08/11/2006,26/03/2007
26,EN00236,37,04/12/2009,Bioflame,South View Farm,Biomass (dedicated),,,2,No,,,,,,,,Operational,Operational,"South View Farm, Yatts, Pickering",North Yorkshire,Yorkshire and Humber,England,,"480,945","486,785",North York Moors National Park Authority,,,,,,01/02/2006,,,,,,,24/10/2006,,,,,,01/10/2007
29,EN00569,41,09/06/2010,Norbord,Cowie Biomass Facility,Biomass (dedicated),,,15,No,,,,,,,,Operational,Operational,"Norbord Ltd, Station Road, Cowie, Stirlingshire",Stirling,Scotland,Scotland,FK7 7BW,"284,085","688,685",Stirling Council,,,,,,06/01/2006,,,,,,,27/07/2006,,,,,,01/02/2008
32,ENA0003,44,23/05/2006,TPS (UK),Thornton Power Station,Biomass (dedicated),,,9,No,,,,,,,,Operational,Operational,Wyre,Lancashire,North West,England,,"334,526","443,323",Wyre Borough Council,,,,,,,,,,,,,,,,,,,15/06/2002
33,H0064,46,02/09/2016,A C Shropshire Ltd,Green's Lodge Farm,Anaerobic Digestion,,,2,Yes,,,,,,,,Operational,Operational,"A C Shropshire Ltd, Green's Lodge Farm, Forest Road, Huncote",Leicestershire,East Midlands,England,LE67 4UY,"446,531","314,260",Leicestershire County Council,,,,,,09/09/2009,,,,,,,,,,,,,14/05/2013
34,IF1016,47,04/07/2013,Iggesund Paperboard (Workington),Iggesund Paperboard CHP Plant,Biomass (dedicated),,,49,Yes,,,,,,,,Operational,Operational,"Siddick, Workington, Cumbria",Cumbria,North West,England,CA14 1JX,"300,293","530,977",Allerdale Borough Council,,,,,,17/11/2010,,,,,,,08/03/2011,,,,,,17/02/2013
36,N00009M,49,30/04/2010,Ancillary Components,Goosey Lodge Industrial Estate,Biomass (dedicated),,,16,No,,,,,,,,Operational,Operational,"Goosey Lodge Industrial Estate, Wymington, Rushden, Northamptonshire",Bedfordshire,Eastern,England,NN10 9LU,"496,208","236,736",Central Bedfordshire Council,,,,,,,,,,,,,,,,,,,31/12/2000
43,N00052B,57,29/06/2011,"Western Bioenergy, affiliate of Western Log",Western Wood Energy Plant,Biomass (dedicated),,,14,Yes,,,,,,,,Operational,Operational,"Longlands Lane, Margam, nr junction 38 of the M4.",West Glamorgan,Wales,Wales,,"277,930","186,880",Neath Port Talbot County Borough Council,,,,,,09/01/2004,,,,,,,27/04/2004,,,,,01/11/2006,01/11/2009
44,N00063B,58,05/02/2010,Eccleshal Biomass,Eccleshall Biomass,Biomass (dedicated),,,2.6,No,,,,,,,,Operational,Operational,"Land Adjacent to Raleigh Ind. Estate, Sturbridge, Eccleshal",Staffordshire,West Midlands,England,ST21 6JL,"383,491","330,826",Stafford Borough Council,,,,,,05/08/2003,,,,,,,29/10/2003,,,,,01/05/2006,12/09/2007
47,S0030L1,62,29/06/2011,EPR Scotland,Westfield Biomass Power Station,Biomass (dedicated),,,12.5,No,,,,,,,,Operational,Operational,"Westfield Development Centre, Fife",Fife,Scotland,Scotland,,"319,000","695,100",Fife Council,,,,,,03/03/1994,,,,,,,05/12/1995,,,,,,21/08/2000
48,C2329,64,25/02/2015,Plymouth Hospital NHS Trust,Derriford Hospital,Biomass (dedicated),,,1.5,Yes,,,,,,,,Operational,Operational,"Derriford Hospital, Derriford Road, Derriford, Plymouth, Devon",Devon,South West,England,PL6 8DH,"249,930","59,564",Plymouth City Council,,,,,,18/09/2013,,,,,,,10/12/2013,,,,,10/07/2014,01/10/2014
50,B1064,66,17/06/2015,Cofely,Rampton Hospital Energy Centre,Biomass (dedicated),,,1.2,Yes,,,,,,,,Operational,Operational,"Retford, Nottinghamshire ",Nottinghamshire,East Midlands,England,DN22 0PD,"477,542","377,676",Bassetlaw District Council,,,,,,24/12/2012,,,,,,,06/02/2013,,,,,01/02/2015,29/05/2015
52,AA619,68,02/09/2016,Oak Grove Renewables,Oak Grove Biomass Facility,Anaerobic Digestion,,,2,Yes,,,,,,,,Operational,Operational,"Oak Grove, Scottow, Norwich, Norfolk",Norfolk,Eastern,England,NR10 4DU,"626,522","324,286",North Norfolk District Council,,,,,,24/11/2011,,,,,,,25/09/2012,,,,,,01/03/2014
56,IF1368,72,02/09/2016,Lockwood Estates,Land at Grange Farm,Anaerobic Digestion,,,1.1,Yes,,,,,,,,Operational,Operational,"Cliff Road, Spridlington, Market Rasen",Lincolnshire,East Midlands,England,LN8 2DN,"497,563","383,132",West Lindsey District Council,,,,,,25/02/2013,,,,,,,04/06/2013,,,,,01/12/2013,01/12/2014
60,1045000,78,29/06/2011,European Development Corporation,Elean Business Park Biomass Plant,Biomass (dedicated),,,40,No,,,,,,,,Operational,Operational,Elean Business Park Sutton Cambridgeshire,Cambridgeshire,Eastern,England,,"545,000","279,900",East Cambridgeshire District Council,,,,,,08/11/1995,,,,,,,22/02/1996,,,,,,22/09/2000
63,1087000,82,29/06/2011,South Western Power (NOVERA),Eye Biomass Plant,Biomass (dedicated),,,14.3,No,,,,,,,,Operational,Operational,"Eye Biomass Plant, Eye Airfield, Site A, Eye Suffolk",Suffolk,Eastern,England,,"613,200","275,200",Mid Suffolk District Council,,,,,,,,,,,,,,,,,,,01/07/1992
67,A0063,87,29/04/2013,Suez Energy Services,King's Yard,Biomass (dedicated),,,3,Yes,,,,,,,,Operational,Operational,"Carpenters Road, London. ",Greater London,London,England,E15 2JH,"538,424","183,769",Hackney London Borough Council,,,,,,08/04/2008,,,,,,,10/03/2009,,,,,01/05/2009,25/07/2012
83,AA118,106,18/04/2016,"MVV Energie, Ridham Dock",Ridham CHP Plant,Biomass (dedicated),,,25,Yes,,,,,,,,Operational,Operational,"Ridham Dock, Iwade, Sittingbourne, Kent",Kent,South East,England,ME9 8SR,"592,076","168,421",Swale Borough Council,,,,,,29/06/2010,,,,,,,28/05/2012,,,,,08/04/2013,18/04/2016
89,AA379,113,03/10/2018,Glennmont Partners,Margam Green Energy Plant,Biomass (dedicated),,,40,No,,,,,,,,Operational,Operational,"Longlands Lane, Margam, Port Talbot",West Glamorgan,Wales,Wales,,"278,940","186,385",Neath Port Talbot County Borough Council,APP/Y6930/A/10/2135473/WF,,,,,13/11/2008,,16/03/2010,,,,08/03/2011,08/03/2011,,,,,15/02/2015,01/12/2017
91,AA430,115,21/11/2018,Lynemouth Power,Lynemouth Power Station,Biomass (dedicated),,,420,No,,,420,,,,,Operational,Operational,Woodhorn Ashington Northumberland,Northumberland,North East,England,NE63 9YH,"429,850","590,374",Northumberland County Council,,,,,,,,,,,,,,,,,,01/01/2016,21/11/2018
92,AA431,116,13/08/2015,Scottish and Southern Energy (SSE),Ferrybridge Multifuel 1 (FM1),EfW Incineration,,,68,No,,,,,,,,Operational,Operational,"Ferrybridge C Power Station, PO Box 39, Stranglands Lane, Knottingley, West Yorkshire",West Yorkshire,Yorkshire and Humber,England,WF11 8SQ,"447,490","424,684",DECC (S36),,,,,,29/10/2009,,,,,,,31/10/2011,,,,,01/10/2012,03/08/2015
93,AA725,117,01/02/2018,UYE (UK) / Veolia,Holbrook Community Renewable Energy Centre,Biomass (dedicated),,,6.5,Yes,,,,,,,,Operational,Operational,"Land At Rear Of Hadee Engineering Co Ltd, Rother Valley Way, Holbrook, Sheffield",South Yorkshire,Yorkshire and Humber,England,S20 3GH,"444,564","381,752",Sheffield City Council,,,,,,29/03/2012,,,,,,,25/09/2012,,,,,17/07/2015,24/04/2017
94,AA742,118,24/04/2018,Alternative Use Group plc & Alchemy Farms,Riverside Industrial Estate Gasification Plant,Advanced Conversion Technologies,,,10.5,No,,,,,,,,Operational,Operational,"Land at Riverside Industrial Estate, Marsh Lne, Boston, Lincolnshire",Lincolnshire,East Midlands,England,,"533,578","341,831",Lincolnshire County Council,,,,,,14/12/2009,,,,,,,07/09/2010,,,,07/09/2013,04/04/2016,15/03/2018
97,AA952,121,23/03/2018,Estover Energy,Cramlington CHP,Biomass (dedicated),,,27.7,Yes,,,,,,,,Operational,Operational,"Windmill Industrial Estate, Cramlington, Northumberland",Northumberland,North East,England,NE23 1JY,"424,308","578,123",Northumberland County Council,,,,,,31/08/2012,,,,,,,21/01/2013,,,,,01/09/2015,15/03/2018
98,B0089,122,23/07/2012,Private Developer,Tyrone Energy 1,Biomass (dedicated),,,2.1,No,,,,,,,,Operational,Operational,Lands 3 Art Road Artigarvan Strabane,Co. Tyrone,Northern Ireland,Northern Ireland,,"53,147","564,212",Northern Ireland Planning Service,,,,,,03/02/2009,,,,,,,08/12/2009,,,,,01/08/2011,06/08/2012
100,B0251,124,03/11/2015,ERE Developments,Evermore Renewable Energy (CHP) / Lisahally Power Station,Biomass (dedicated),,,15,Yes,,,,,,,,Operational,Operational,"Site between Temple Road and Maydown Road, Lisahally opposite location of former dwelling 38 Temple Road, BT47 6FL",Co. Derry / Londonderry,Northern Ireland,Northern Ireland,BT47 6FL,"64,627","583,737",Northern Ireland Planning Service,,,,,,19/01/2010,,,,,,,09/07/2010,,,,,19/12/2013,23/07/2015
103,B0344,127,01/05/2012,Markley Group,Markley Group (Premiere Kitckens) Biomass,Biomass (dedicated),,,2.1,No,,,,,,,,Operational,Operational,"Unit Q1, Quadrant Distribution Centre, Quadrant Way, Hardwicke, Gloucester",Gloucestershire,South West,England,GL2 2RN,"380,652","212,428",Stroud District Council,,,,,,25/06/2010,,,,,,,03/08/2011,,,,,,19/04/2012
105,B0390,129,09/01/2015,Heathrow Airport,Heathrow Airport Biomass CHP,Biomass (dedicated),,,1.8,Yes,,,,,,,,Operational,Operational,"Heathrow, London",Greater London,London,England,,"507,124","174,485",Hillingdon London Borough Council,,,,,,02/03/2010,,,,,,,25/05/2010,,,,,01/06/2012,01/01/2013
106,B0462,130,04/11/2013,REG Bio-Power,Bentwaters CHP,Biomass (dedicated),,,4.6,Yes,,,,,,,,Operational,Operational,"Bentwaters Business Park, Suffolk",Suffolk,Eastern,England,,"634,882","253,510",Suffolk Coastal District Council,,,,,,11/10/2007,,,,,,,,,,,,,01/11/2010
107,B0662,132,09/01/2014,GDF SUEZ ENERGY UK,SAICA Paper Mill,Biomass (dedicated),,,41.6,Yes,,,,,,,,Operational,Operational,"Partington Wharfside, land off Manchester Road, Carrington",Greater Manchester,North West,England,,"372,220","392,117",Trafford Council,,,,,,30/12/2008,,,,,,,30/12/2008,,,,,,16/03/2012
114,EN00247,139,23/06/2017,Eco Sustainable Solutions,Eco Composting,Biomass (dedicated),,,3.2,Yes,,,,,,,,Operational,Operational,"Chapel Lane, Parley, Christchurch, Dorset",Dorset,South West,England,BH23 6BG,"410,184","98,499",Dorset County Council,,,,,,26/05/2011,,,,,,,26/07/2011,,,,26/07/2014,28/10/2016,22/03/2017
115,EN00292,140,23/06/2017,Scottish Bio-Power,Rothes Bio-Plant,Biomass (dedicated),,,8.3,Yes,,,,,,,,Operational,Operational,"Rothes Distillery, Speyside",Grampian,Scotland,Scotland,,"327,767","849,116",Moray Council,,,,,,17/03/2008,,,,,,,28/01/2009,,,,,01/05/2011,16/04/2013
118,H0060,143,07/05/2015,"Icon, EEA Holdings & 2OC consortium",Beckton Gas Pressure Reduction Station,Biomass (dedicated),,,19,Yes,,,,,,,,Operational,Operational,Beckton Sewage Treatment Works,Greater London,London,England,,"545,005","181,988",Newham London Borough Council,,,,,,15/01/2010,,,,,,,26/08/2010,,,,,30/04/2013,30/03/2015
123,A0493,148,04/06/2018,Cogen,Ince Bio Power,Advanced Conversion Technologies,,,21.5,No,,,,,,,,Operational,Operational,"Plot 9, Ince Marshes Ince Reso, Marsh Lane, Ince, Chester, Cheshire",Cheshire,North West,England,CH2 4N,"345,500","376,500",Cheshire West and Chester Council,,,,,,07/01/2011,,,,,,,09/09/2011,,,,,29/10/2015,30/04/2017
125,AA440,150,02/11/2017,Eco2,Brigg Renewable Energy Plant (Re-submission),Biomass (dedicated),,,40,No,,,,,,,,Operational,Operational,"British Sugar Corporation Ltd, Access roads to power station, Scawby",Humberside,Yorkshire and Humber,England,DN20 9LT,"498,860","406,109",North Lincolnshire Council,APP/Y2003/A/10/2133721/NWF,,,,,23/03/2009,,07/04/2010,,,,18/10/2011,18/10/2011,,,,,19/06/2014,23/02/2016
127,EN00550,152,27/11/2018,Tilbury Green Power,Tilbury Green Power,Biomass (dedicated),,,43,Yes,,,,,,,,Operational,Operational,"Tilbury Docks, Essex",Essex,Eastern,England,RM18 7NU,"563,330","176,110",DECC (S36),,,,,,07/02/2008,,,,,,,27/08/2009,,,,,15/04/2015,26/10/2017
130,N00061B,155,04/04/2018,RWE,Markinch Biomass CHP Plant,Biomass (dedicated),,,65,Yes,,,,,,,,Operational,Operational,"Markinch, Fife",Fife,Scotland,Scotland,,"327,988","701,561",Scottish Government (S36),,,,,,01/08/2005,,,,,,,01/07/2008,,,,,01/06/2009,18/02/2014
136,AA687,161,05/11/2019,Greencoat Capital,Templeborough Biomass Power Plant- Rotherham,Biomass (dedicated),,,42,Yes,,,,,,,,Operational,Operational,"Former Firth Rixson Ickles Works, Sheffield Road Templeborough, Rotherham, South Yorkshire",South Yorkshire,Yorkshire and Humber,England,S60 1DP,"441,740","391,937",Rotherham Metropolitan Borough Council,,,,,,07/06/2010,,,,,,,09/11/2010,,,,,26/11/2015,28/02/2019
141,EN00529,166,02/11/2017,E.ON UK,Blackburn Meadows Biomass Plant,Biomass (dedicated),,,30,Yes,,,,,,,,Operational,Operational,"Blackburn Meadows in Sheffield, South Yorkshire",South Yorkshire,Yorkshire and Humber,England,,"440,075","391,650",Sheffield City Council,,,,,,01/03/2008,,,,,,,15/07/2008,,,,,01/11/2011,07/07/2014
145,AA535,171,23/07/2019,Charlesfield First LLP & Biogas Power,Charlesfield Biomass CHP Plant,Advanced Conversion Technologies,,,10,Yes,,,,,,,,Operational,Operational,"Land East Of G A White Motors, Charlesfield Industrial Estate, St Boswells",Borders,Scotland,Scotland,,"358,892","629,839",Scottish Borders Council,,,,,,04/08/2009,,,,,,,26/11/2009,,,,,01/05/2015,30/06/2015
146,A0127,172,02/12/2014,Diageo,Diageo Biomass Energy Project,Biomass (dedicated),,,5.5,No,,,,,,,,Operational,Operational,"Cameronbridge Distillery, Cameron Bridge, Leven, Fife",Fife,Scotland,Scotland,KY8 5RL,"334,567","700,177",Fife Council,,,,,,11/04/2008,,,,,,,04/11/2008,,,,,01/08/2009,08/05/2013
147,H0065,173,25/09/2019,Burmeister & Wain Scandinavian Contractor (BWSC) ,Discovery Park,Biomass (dedicated),,,16,Yes,,,,,,,,Operational,Operational,"Ramsgate Road, Sandwich, Kent",Kent,South East,England,CT13 9ND,"633,403","159,180",Dover District Council,,,,,,23/08/2013,,,,,,,18/10/2013,,,,,23/06/2016,28/09/2018
148,EN00567,174,04/06/2018,Drax Power,Drax Biomass Power Station - Unit 1,Biomass (co-firing),,,645,No,,,,,,,,Operational,Operational,Near Selby in North Yorkshire,North Yorkshire,Yorkshire and Humber,England,,"466,650","427,050",DECC (S36),,,,,,,,,,,,,,,,,,01/04/2013,30/07/2013
149,EN00567b,175,04/06/2018,Drax Power,Drax Biomass Power Station - Unit 3,Biomass (dedicated),,,645,No,,,645,,,,,Operational,Operational,Near Selby in North Yorkshire,North Yorkshire,Yorkshire and Humber,England,,"466,650","427,050",DECC (S36),,,,,,,,,,,,,,,,,,01/04/2017,20/07/2017
152,IF1040,179,18/07/2018,Sunrise Renewables,King George Dock,Biomass (dedicated),,,9,Yes,,,,,,,,Operational,Operational,Kingston Upon Hull,Humberside,Yorkshire and Humber,England,HU9 5PR,"513,307","428,707",Kingston upon Hull City Council,,,,,,22/10/2012,,,,,,,05/02/2013,,,,,15/04/2016,15/04/2018
155,C3218,182,23/03/2016,Northampton General Hospital,Northampton General Hospital,Biomass (dedicated),,,1.9,Yes,,,,,,,,Operational,Operational,"Northampton General Hospital Trust, Cliftonville, Northampton, Northamptonshire",Northamptonshire,East Midlands,England,NN1 5BD,"476,449","260,399",Northampton Borough Council,,,,,,12/05/2014,,,,,,,30/06/2014,,,,30/06/2017,01/03/2015,01/03/2016
